# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 4.035043716430664062e-02 1.217856287956237793e+00 1.437222119420766830e-02 4.035043716430664062e-02 1.217856287956237793e+00 1.437222119420766830e-02
1.000000000000000000e+03 2.459770254790782928e-02 1.539956033229827881e-02 4.513441026210784912e-02 2.459770254790782928e-02 1.539956033229827881e-02 4.513441026210784912e-02
2.000000000000000000e+03 1.664425618946552277e-02 5.941738840192556381e-03 3.466614708304405212e-02 1.664425618946552277e-02 5.941738840192556381e-03 3.466614708304405212e-02
3.000000000000000000e+03 1.214601937681436539e-02 3.644334152340888977e-03 1.830088533461093903e-02 1.214601937681436539e-02 3.644334152340888977e-03 1.830088533461093903e-02
4.000000000000000000e+03 8.539135567843914032e-03 3.176002763211727142e-03 1.545848511159420013e-02 8.539135567843914032e-03 3.176002763211727142e-03 1.545848511159420013e-02
5.000000000000000000e+03 1.026377268135547638e-02 2.631293609738349915e-03 1.440129149705171585e-02 1.026377268135547638e-02 2.631293609738349915e-03 1.440129149705171585e-02
6.000000000000000000e+03 6.020327564328908920e-03 1.915258704684674740e-03 1.046864315867424011e-02 6.020327564328908920e-03 1.915258704684674740e-03 1.046864315867424011e-02
7.000000000000000000e+03 1.149226259440183640e-02 1.666452852077782154e-03 6.960309576243162155e-03 1.149226259440183640e-02 1.666452852077782154e-03 6.960309576243162155e-03
8.000000000000000000e+03 3.705785609781742096e-03 3.347746096551418304e-03 1.350319362245500088e-03 3.705785609781742096e-03 3.347746096551418304e-03 1.350319362245500088e-03
9.000000000000000000e+03 2.006412716582417488e-03 1.204127445816993713e-03 1.442252425476908684e-03 2.006412716582417488e-03 1.204127445816993713e-03 1.442252425476908684e-03
1.000000000000000000e+04 1.952975057065486908e-03 9.935172274708747864e-04 1.457068370655179024e-03 1.952975057065486908e-03 9.935172274708747864e-04 1.457068370655179024e-03
1.100000000000000000e+04 3.518380690366029739e-03 8.980574784800410271e-04 1.306410995312035084e-03 3.518380690366029739e-03 8.980574784800410271e-04 1.306410995312035084e-03
1.200000000000000000e+04 1.426867092959582806e-03 7.001902558840811253e-04 1.167682115919888020e-03 1.426867092959582806e-03 7.001902558840811253e-04 1.167682115919888020e-03
1.300000000000000000e+04 2.140307566151022911e-03 6.057089194655418396e-04 1.148359384387731552e-03 2.140307566151022911e-03 6.057089194655418396e-04 1.148359384387731552e-03
1.400000000000000000e+04 1.949560246430337429e-03 4.752163658849895000e-04 1.191259128972887993e-03 1.949560246430337429e-03 4.752163658849895000e-04 1.191259128972887993e-03
1.500000000000000000e+04 2.229082398116588593e-03 4.139877855777740479e-04 1.063512405380606651e-03 2.229082398116588593e-03 4.139877855777740479e-04 1.063512405380606651e-03
1.500000000000000000e+04 2.229082398116588593e-03 4.139877855777740479e-04 1.063512405380606651e-03 2.229082398116588593e-03 4.139877855777740479e-04 1.063512405380606651e-03
1.600000000000000000e+04 2.339233324164524674e-04 8.935160440159961581e-05 2.168234932469204068e-04 2.229082398116588593e-03 4.139877855777740479e-04 1.063512405380606651e-03
1.700000000000000000e+04 1.228629407705739141e-04 1.124465688917553052e-05 5.711220728699117899e-05 2.229082398116588593e-03 4.139877855777740479e-04 1.063512405380606651e-03
1.800000000000000000e+04 7.023708894848823547e-05 8.589414392190519720e-06 2.154445246560499072e-05 2.229082398116588593e-03 4.139877855777740479e-04 1.063512405380606651e-03
1.900000000000000000e+04 3.869693318847566843e-05 5.369105110730743036e-06 1.002717272058362141e-05 2.229082398116588593e-03 4.139877855777740479e-04 1.063512405380606651e-03
1.927600000000000000e+04 3.291976463515311480e-05 3.826679858320858330e-06 1.059494206856470555e-05 3.291976463515311480e-05 3.826679858320858330e-06 1.059494206856470555e-05
